,fam,form,score,SAC,total
158,1.0,2,2,1,3
159,1.0,3,1,1,2
160,1.0,0,3,2,5
161,1.0,0,2,2,4
162,0.0,1,3,2,5
164,1.0,3,2,1,3
165,1.0,1,2,1,3
166,1.0,2,2,2,4
167,0.0,2,1,0,1
168,1.0,2,3,1,4
170,1.0,3,2,2,4
171,1.0,0,1,2,3
172,0.0,1,3,2,5
174,1.0,1,2,1,3
175,1.0,3,2,0,2
176,1.0,0,2,1,3
177,0.0,3,2,2,4
178,1.0,0,3,2,5
179,1.0,3,0,2,2
180,0.0,0,3,1,4
181,1.0,1,2,1,3
182,1.0,2,2,2,4
183,1.0,3,3,1,4
184,1.0,0,2,1,3
185,1.0,1,3,2,5
186,1.0,2,2,2,4
187,0.0,3,1,0,1
188,1.0,3,3,2,5
190,1.0,3,2,1,3
192,1.0,1,0,2,2
195,1.0,1,2,2,4
196,1.0,2,2,1,3
197,1.0,0,1,1,2
198,1.0,1,2,0,2
199,1.0,2,2,1,3
200,1.0,0,2,0,2
201,1.0,0,3,1,4
202,1.0,1,3,2,5
203,1.0,0,2,2,4
205,1.0,2,3,0,3
207,0.0,1,2,1,3
208,1.0,2,1,0,1
209,1.0,3,2,1,3
210,1.0,3,2,0,2
211,1.0,1,2,2,4
212,1.0,2,2,1,3
213,0.0,1,3,2,5
214,1.0,1,2,0,2
215,0.0,2,1,0,1
216,1.0,3,2,0,2
217,0.0,0,3,1,4
219,1.0,2,3,1,4
220,1.0,2,2,1,3
221,1.0,3,1,0,1
222,1.0,1,2,2,4
223,1.0,3,1,1,2
224,1.0,0,1,0,1
225,1.0,1,3,2,5
230,0.0,2,3,2,5
231,1.0,3,1,1,2
232,1.0,0,1,2,3
233,1.0,2,1,1,2
234,1.0,2,2,2,4
235,1.0,3,1,2,3
236,0.0,0,0,2,2
239,1.0,3,1,1,2
240,0.0,2,3,2,5
241,0.0,0,1,1,2
242,1.0,2,2,1,3
243,0.0,3,2,0,2
245,0.0,1,3,0,3
248,1.0,3,1,1,2
249,1.0,1,3,1,4
250,1.0,2,1,1,2
251,1.0,3,2,2,4
253,0.0,0,2,1,3
254,0.0,1,1,0,1
257,1.0,1,0,0,0
258,0.0,2,2,0,2
261,1.0,0,2,2,4
262,0.0,1,3,0,3
263,0.0,0,1,2,3
264,1.0,3,0,1,1
266,0.0,2,0,0,0
267,1.0,3,3,1,4
268,0.0,3,3,1,4
269,1.0,0,2,2,4
270,1.0,0,2,0,2
271,1.0,1,2,1,3
273,1.0,1,2,2,4
275,1.0,3,3,2,5
276,0.0,2,2,1,3
277,1.0,0,2,2,4
278,1.0,1,3,2,5
279,1.0,3,1,0,1
280,0.0,0,1,0,1
281,1.0,1,1,1,2
1,1.0,3,2,2,4
2,0.0,0,2,2,4
3,0.0,0,2,0,2
4,0.0,1,2,2,4
5,1.0,0,2,2,4
6,0.0,2,2,2,4
8,1.0,1,3,2,5
9,0.0,3,3,1,4
10,1.0,3,3,0,3
11,0.0,3,3,2,5
12,1.0,3,3,0,3
13,1.0,3,3,2,5
14,0.0,2,0,1,1
16,1.0,0,3,2,5
17,1.0,0,1,0,1
18,1.0,1,2,0,2
19,1.0,1,3,2,5
20,0.0,2,2,1,3
21,0.0,1,2,0,2
22,0.0,2,1,0,1
23,1.0,0,3,0,3
24,1.0,2,3,1,4
25,0.0,3,2,2,4
27,0.0,0,3,2,5
28,1.0,3,1,1,2
29,1.0,1,3,2,5
30,0.0,2,3,1,4
31,0.0,1,3,2,5
32,1.0,1,3,2,5
33,1.0,2,2,1,3
34,0.0,3,3,0,3
35,0.0,3,3,1,4
36,0.0,3,2,1,3
37,1.0,3,3,0,3
38,0.0,3,3,1,4
39,0.0,3,3,1,4
42,0.0,3,2,2,4
43,1.0,3,3,2,5
45,1.0,3,3,0,3
46,0.0,3,3,1,4
47,0.0,3,3,1,4
48,1.0,0,3,1,4
49,0.0,0,3,0,3
50,1.0,3,3,2,5
51,0.0,3,3,0,3
52,0.0,0,2,0,2
53,0.0,0,3,1,4
54,1.0,3,3,2,5
55,1.0,3,3,2,5
56,0.0,2,3,1,4
57,0.0,2,3,2,5
58,1.0,2,3,0,3
59,0.0,2,2,2,4
60,1.0,1,1,0,1
61,0.0,1,3,1,4
62,0.0,1,3,2,5
63,1.0,1,1,0,1
64,1.0,0,3,2,5
65,0.0,2,1,2,3
66,0.0,2,2,2,4
67,0.0,0,3,2,5
68,0.0,0,3,1,4
69,0.0,0,3,1,4
70,1.0,0,2,2,4
71,0.0,0,3,2,5
72,1.0,3,2,1,3
73,0.0,1,3,2,5
74,1.0,1,3,2,5
75,0.0,1,2,0,2
76,0.0,1,2,0,2
77,0.0,2,3,1,4
78,1.0,0,3,2,5
79,0.0,2,3,0,3
80,0.0,1,2,2,4
81,0.0,2,3,1,4
82,1.0,2,3,2,5
83,1.0,1,1,2,3
84,1.0,2,3,1,4
85,1.0,1,3,2,5
86,0.0,0,2,1,3
87,1.0,0,2,2,4
88,1.0,0,3,2,5
89,0.0,2,3,2,5
90,0.0,2,1,2,3
92,0.0,2,3,1,4
93,1.0,1,3,1,4
94,1.0,1,3,2,5
95,0.0,0,3,2,5
96,0.0,1,3,1,4
97,0.0,1,3,2,5
98,1.0,0,2,1,3
99,1.0,0,3,2,5
100,1.0,2,3,0,3
101,1.0,2,2,0,2
102,0.0,2,2,2,4
103,0.0,1,3,2,5
104,0.0,0,2,0,2
105,0.0,0,3,2,5
106,1.0,0,3,2,5
107,0.0,1,3,1,4
108,0.0,1,2,1,3
110,1.0,2,2,1,3
111,0.0,1,2,1,3
112,0.0,3,3,0,3
113,0.0,0,2,1,3
114,1.0,3,2,2,4
115,1.0,3,3,2,5
116,1.0,3,3,1,4
117,0.0,1,2,2,4
118,0.0,1,3,2,5
119,1.0,2,3,1,4
120,1.0,2,3,2,5
121,0.0,0,2,2,4
122,1.0,0,3,0,3
123,0.0,0,3,2,5
124,0.0,1,2,0,2
125,0.0,2,0,0,0
126,0.0,0,2,2,4
127,1.0,3,2,0,2
128,0.0,1,2,1,3
129,1.0,1,2,1,3
130,1.0,2,3,2,5
131,0.0,3,3,1,4
132,0.0,2,2,0,2
133,1.0,3,1,0,1
134,0.0,0,3,2,5
135,0.0,1,3,1,4
137,0.0,3,2,1,3
139,1.0,0,1,2,3
140,0.0,1,3,1,4
141,1.0,2,3,2,5
142,0.0,2,3,2,5
143,0.0,1,2,0,2
144,0.0,3,3,2,5
145,1.0,3,3,2,5
146,1.0,0,3,2,5
147,1.0,0,2,2,4
149,1.0,1,2,1,3
150,0.0,1,3,1,4
151,0.0,2,3,2,5
152,1.0,3,2,0,2
153,0.0,3,3,0,3
154,0.0,3,2,0,2
155,0.0,0,2,0,2
156,0.0,2,3,2,5
157,0.0,2,3,1,4
158,0.0,0,2,1,3
159,0.0,1,1,2,3
160,0.0,2,2,1,3
161,0.0,2,3,1,4
162,0.0,3,3,2,5
163,1.0,0,3,2,5
164,0.0,1,2,0,2
166,0.0,0,3,2,5
167,1.0,0,3,0,3
168,0.0,0,2,2,4
169,1.0,0,3,2,5
170,0.0,1,2,2,4
171,0.0,2,3,1,4
172,1.0,3,2,2,4
173,0.0,3,3,2,5
174,1.0,3,1,0,1
175,1.0,1,3,0,3
176,1.0,2,1,1,2
177,0.0,1,3,2,5
178,1.0,2,2,2,4
179,1.0,1,3,2,5
180,0.0,2,2,1,3
181,0.0,3,3,2,5
182,1.0,0,2,2,4
183,0.0,1,2,0,2
184,0.0,2,3,0,3
185,1.0,3,3,2,5
186,0.0,0,2,2,4
187,0.0,1,2,1,3
188,0.0,1,3,1,4
190,0.0,1,3,2,5
193,0.0,0,2,0,2
194,1.0,2,3,1,4
195,1.0,3,3,1,4
196,0.0,0,3,2,5
197,0.0,2,3,2,5
198,1.0,3,2,2,4
199,1.0,0,2,2,4
200,1.0,2,3,0,3
201,0.0,2,2,1,3
202,0.0,3,3,2,5
203,0.0,2,3,2,5
205,1.0,0,3,0,3
206,1.0,1,1,1,2
207,0.0,3,2,0,2
208,0.0,0,2,0,2
209,0.0,1,2,2,4
210,1.0,1,2,1,3
211,1.0,3,1,1,2
212,1.0,0,2,1,3
213,0.0,3,3,2,5
214,0.0,3,3,1,4
215,0.0,0,2,0,2
216,1.0,1,3,1,4
217,0.0,2,2,0,2
218,0.0,2,3,2,5
219,0.0,0,2,2,4
220,1.0,0,2,0,2
221,0.0,1,2,2,4
222,1.0,3,3,1,4
223,0.0,1,2,2,4
224,1.0,2,2,0,2
225,1.0,3,3,2,5
230,0.0,0,3,1,4
231,1.0,1,3,2,5
232,1.0,2,3,2,5
233,1.0,0,3,0,3
234,0.0,0,3,2,5
235,0.0,1,3,2,5
236,0.0,2,3,1,4
238,1.0,1,1,1,2
241,1.0,2,3,2,5
242,1.0,0,3,1,4
243,0.0,1,0,0,0
244,0.0,2,1,2,3
245,1.0,3,2,1,3
247,0.0,0,3,2,5
248,1.0,1,3,2,5
249,0.0,3,3,2,5
250,0.0,0,2,1,3
251,1.0,1,3,2,5
253,0.0,2,3,2,5
254,0.0,3,0,0,0
257,1.0,3,0,0,0
260,1.0,1,3,2,5
262,1.0,3,2,1,3
264,1.0,1,1,0,1
266,0.0,0,0,0,0
267,1.0,1,3,2,5
269,1.0,2,3,2,5
270,1.0,2,2,0,2
271,1.0,3,2,0,2
273,0.0,3,3,2,5
276,0.0,0,2,2,4
277,1.0,2,3,2,5
278,1.0,3,2,1,3
279,1.0,1,3,2,5
280,0.0,2,3,2,5
281,1.0,3,2,2,4
